"21.09.2022";"00960942";"62320909";"2"";"175.00";"252"
"21.09.2022";"00960913";"58402104";"2"";"200.00";"228"
"21.09.2022";"00960888";"23751057";"2"";"185.00";"207"
"21.09.2022";"00960846";"61444001";"2"";"242.00";"202"
"21.09.2022";"00960729";"77521010";"2"";"195.00";"214"
"21.09.2022";"00960682";"05580011";"2"";"157.00";"248"
"21.09.2022";"00960445";"3A223011";"2"";"214.00";"202"
"21.09.2022";"00960412";"06331111";"2"";"144.00";"214"
"21.09.2022";"00960256";"64200009";"2"";"220.00";"208"
"21.09.2022";"00960090";"20000902";"2"";"300.00";"214"
"21.09.2022";"00960089";"10590054";"2"";"236.00";"207"
"21.09.2022";"00959967";"42D80016";"2"";"195.00";"214"
"21.09.2022";"00959714";"3B051019";"2"";"206.00";"228"
"21.09.2022";"00959708";"24S40352";"2"";"173.00";"207"
"21.09.2022";"00959636";"62230001";"2"";"250.00";"253"
"21.09.2022";"00959586";"22770005";"2"";"230.00";"207"
"21.09.2022";"00959486";"71021403";"2"";"270.00";"214"
"21.09.2022";"00959377";"61250909";"2"";"221.00";"208"
"21.09.2022";"00959328";"6B207015";"2"";"293.00";"253"
"21.09.2022";"00959288";"11051004";"6"";"295.00";"214"
"21.09.2022";"00959200";"08000002";"2"";"188.00";"251"
"21.09.2022";"00959126";"08033422";"2"";"238.00";"208"
"21.09.2022";"00959074";"5P530015";"2"";"181.00";"228"
"21.09.2022";"00959007";"62000003";"6"";"198.00";"214"
"21.09.2022";"00958956";"6C320058";"2"";"190.00";"252"
"21.09.2022";"00958776";"64330040";"2"";"185.00";"208"
"21.09.2022";"00958719";"3A122006";"2"";"136.00";"202"
"21.09.2022";"00958612";"6B307009";"2"";"235.00";"252"
"21.09.2022";"00958528";"5P510013";"2"";"174.00";"228"
"21.09.2022";"00958476";"6C220002";"2"";"249.00";"209"
"21.09.2022";"00958475";"08310005";"2"";"198.00";"202"
"21.09.2022";"00958468";"1U310013";"2"";"191.00";"209"
"21.09.2022";"00958441";"1P110108";"2"";"262.00";"208"
"21.09.2022";"00958437";"3B015007";"2"";"202.00";"228"
"21.09.2022";"00958418";"60190101";"2"";"212.00";"252"
"21.09.2022";"00958411";"3A122009";"2"";"292.00";"209"
"21.09.2022";"00958383";"3S312015";"2"";"213.00";"228"
"21.09.2022";"00958309";"58400016";"2"";"271.00";"228"
"21.09.2022";"00958184";"58402001";"2"";"193.00";"228"
"21.09.2022";"00958126";"41102006";"2"";"211.00";"211"
"21.09.2022";"00958007";"24650128";"2"";"229.00";"207"
"21.09.2022";"00957973";"22110118";"8"";"225.00";"254"
"21.09.2022";"00957935";"08631232";"2"";"212.00";"214"
"21.09.2022";"00957789";"5P510018";"2"";"179.00";"228"
"21.09.2022";"00957744";"22C10901";"2"";"227.00";"228"
"21.09.2022";"00957628";"06720904";"2"";"280.00";"214"
"21.09.2022";"00957554";"3B030006";"2"";"169.00";"228"
"21.09.2022";"00957532";"08300003";"2"";"246.00";"202"
"21.09.2022";"00957422";"3M421008";"2"";"225.00";"228"
"21.09.2022";"00957399";"64200002";"2"";"203.00";"208"
"21.09.2022";"00957254";"29201903";"2"";"209.00";"231"
"21.09.2022";"00957217";"1L141908";"2"";"250.00";"212"
"21.09.2022";"00957052";"1F511003";"8"";"267.00";"211"
"21.09.2022";"00956835";"52220011";"2"";"140.00";"214"
"21.09.2022";"00956795";"6B411007";"2"";"205.00";"209"
"21.09.2022";"00956762";"2M020911";"2"";"142.00";"214"
